StateCode,Date,Avg_Demand,Avg_ISGS,Avg_ImportData
ACP,2025-08-01,171.16,,171.16
GJT,2025-08-01,18756.26,12361.74,6394.53
MPD,2025-08-01,9720.05,5716.89,4003.16
HP,2025-08-01,1526.21,1158.79,415.0
MIP,2025-08-01,145.0,,145.0
HRN,2025-08-01,9253.58,2715.95,6537.63
MZM,2025-08-01,89.74,,89.74
KRT,2025-08-01,11444.32,7596.42,3847.89
GOA,2025-08-01,519.37,,519.37
DNH,2025-08-01,942.21,,942.21
UP,2025-08-01,22244.16,12497.32,9746.84
KRL,2025-08-01,3381.95,1758.63,1623.32
AP,2025-08-01,11007.79,8590.95,2416.84
UTK,2025-08-01,2084.95,675.0,1409.95
JAK,2025-08-01,2136.21,184.11,1952.11
JHK,2025-08-01,1570.21,409.0,1161.21
CHG,2025-08-01,293.68,,293.68
MHA,2025-08-01,22138.89,15153.53,6985.37
RJ,2025-08-01,11561.68,7379.0,4182.68
MGA,2025-08-01,228.56,181.89,57.44
TPA,2025-08-01,259.95,109.84,150.11
BGL,2025-08-01,9435.95,5780.74,3655.21
TND,2025-08-01,18022.0,10006.42,8015.58
BHR,2025-08-01,6763.68,418.68,6345.0
SKM,2025-08-01,59.11,,59.11
ODI,2025-08-01,5705.58,3260.0,2445.58
NGD,2025-08-01,158.0,,158.0
PU,2025-08-01,440.21,,440.21
DL,2025-08-01,5612.37,514.21,5098.16
PNB,2025-08-01,10842.05,4808.58,6033.47
DND,2025-08-01,354.26,,354.26
ASM,2025-08-01,2176.11,290.47,1885.63
CTG,2025-08-01,4972.47,2011.42,2961.05
TLG,2025-08-01,11927.47,6794.47,5133.0
HP,2025-08-02,1452.92,1203.71,249.21
CTG,2025-08-02,5101.12,1989.71,3111.42
TLG,2025-08-02,12235.54,6320.17,5915.38
MPD,2025-08-02,9864.5,5541.29,4323.21
ACP,2025-08-02,168.04,,168.04
MZM,2025-08-02,70.04,,70.04
JHK,2025-08-02,1577.0,409.0,1168.0
CHG,2025-08-02,273.88,,273.88
KRT,2025-08-02,11164.33,7824.38,3339.96
UP,2025-08-02,22542.5,12638.46,9904.04
GOA,2025-08-02,493.62,,493.62
MIP,2025-08-02,145.0,,145.0
JAK,2025-08-02,2049.42,265.88,1783.54
TND,2025-08-02,16573.7,8723.35,7850.35
TPA,2025-08-02,257.38,108.0,149.38
MGA,2025-08-02,233.62,200.38,48.17
